Date,Close,MoM_Change_%
2020-01-31,0.01,
2020-02-29,0.03,200.00
2020-03-31,0.03,0.00
2020-04-30,0.04,33.33
2020-05-31,0.04,0.00
2020-06-30,0.04,0.00
2020-07-31,0.05,25.00
2020-08-31,0.05,0.00
2020-09-30,0.03,-40.00
2020-10-31,0.03,0.00
2020-11-30,0.03,0.00
2020-12-31,0.03,0.00
2021-01-31,0.09,200.00
2021-02-28,0.13,44.44
2021-03-31,0.35,169.23
2021-04-30,0.33,-5.71
2021-05-31,0.23,-30.30
2021-06-30,0.21,-8.70
2021-07-31,0.21,0.00
2021-08-31,0.26,23.81
2021-09-30,0.37,42.31
2021-10-31,0.40,8.11
2021-11-30,0.35,-12.50
2021-12-31,0.30,-14.29
2022-01-31,0.23,-23.33
2022-02-28,0.23,0.00
2022-03-31,0.25,8.70
2022-04-30,0.15,-40.00
2022-05-31,0.09,-40.00
2022-06-30,0.06,-33.33
2022-07-31,0.08,33.33
2022-08-31,0.06,-25.00
2022-09-30,0.06,0.00
2022-10-31,0.06,0.00
2022-11-30,0.05,-16.67
2022-12-31,0.04,-20.00
2023-01-31,0.07,75.00
2023-02-28,0.07,0.00
2023-03-31,0.07,0.00
2023-04-30,0.06,-14.29
2023-05-31,0.05,-16.67
2023-06-30,0.05,0.00
2023-07-31,0.05,0.00
2023-08-31,0.05,0.00
2023-09-30,0.05,0.00
2023-10-31,0.05,0.00
2023-11-30,0.06,20.00
2023-12-31,0.09,50.00
2024-01-31,0.07,-22.22
2024-02-29,0.12,71.43
2024-03-31,0.11,-8.33
2024-04-30,0.10,-9.09
2024-05-31,0.10,0.00
2024-06-30,0.08,-20.00
2024-07-31,0.06,-25.00
2024-08-31,0.05,-16.67
2024-09-30,0.05,0.00
2024-10-31,0.05,0.00
2024-11-30,0.21,320.00
2024-12-31,0.29,38.10
2025-01-31,0.31,6.90
2025-02-25,0.19,-38.71
